Thu Dec 19 2013,36.03,Whole Foods,arw,Update,Delete
Thu Jan 09 2014,31.29,Garden Basket,jvw,Update,Delete
Tue Jan 07 2014,55.93,Longos,jvw,Update,Delete
Mon Jan 06 2014,23.9,Shoppers Drug Mart,jvw,Update,Delete
Sat Jan 04 2014,35.54,Garden Basket,arw,Update,Delete
Tue Dec 31 2013,17.94,Garden Basket,jvw,Update,Delete
Sun Dec 29 2013,95.1,Longos,arw,Update,Delete
Fri Dec 27 2013,45.2,Loblaws,arw,Update,Delete
Tue Dec 24 2013,42.48,Longos,jvw,Update,Delete
Sun Dec 22 2013,10.49,Shoppers Drug Mart,arw,Update,Delete
Sun Dec 22 2013,65.39,Garden Basket,arw,Update,Delete
Thu Jan 09 2014,26.02,Garden Basket,arw,Update,Delete
Mon Dec 16 2013,51.81,Garden Basket,jvw,Update,Delete
Sat Dec 14 2013,18,Canadian Tire,arw,Update,Delete
Fri Dec 13 2013,42.6,Longos,arw,Update,Delete
Fri Dec 13 2013,40.07,Longos,arw,Update,Delete
Thu Dec 12 2013,18.59,Longos,arw,Update,Delete
Mon Dec 09 2013,46.32,Garden Basket,jvw,Update,Delete
Sat Dec 07 2013,29.93,Longos,arw,Update,Delete
Fri Dec 06 2013,40.07,Longos,arw,Update,Delete
Thu Dec 05 2013,40.41,Longos,arw,Update,Delete
Tue Dec 03 2013,27.82,Garden Basket,jvw,Update,Delete
Mon Dec 02 2013,93.64,Garden Basket,arw,Update,Delete
Wed Oct 23 2013,53.28,Garden Basket,jvw,Update,Delete
Thu Nov 14 2013,32.35,Garden Basket,arw,Update,Delete
Wed Nov 13 2013,50.12,Whole Foods,arw,Update,Delete
Mon Nov 11 2013,59.81,Longos,jvw,Update,Delete
Thu Nov 07 2013,33.83,Shoppers Drug Mart,jvw,Update,Delete
Mon Nov 04 2013,48.39,Garden Basket,jvw,Update,Delete
Mon Nov 04 2013,65.12,Longos,arw,Update,Delete
Wed Oct 30 2013,85.57,Longos,jvw,Update,Delete
Mon Oct 28 2013,27.76,Longos,arw,Update,Delete
Sun Oct 27 2013,20.35,Garden Basket,arw,Update,Delete
Sun Oct 27 2013,15.33,Shoppers Drug Mart,jvw,Update,Delete
Sat Oct 26 2013,64.44,Garden Basket,jvw,Update,Delete
Tue Nov 19 2013,51.86,Longos,jvw,Update,Delete
